priority,category,target,address_or_geo,developer_or_owner,size,status,pitch_angle,best_contact_path,source
HIGH,New Dev — Sponsor-to-Board Transition,The Harper,310 East 86th Street Manhattan,Naftali Group,24 units,Closings underway nearly sold,Board formation imminent — pitch transition mgmt,LinkedIn / brokerage network to Miki Naftali CEO,Kimi research May 25 2026
HIGH,New Dev — Sponsor-to-Board Transition,126 East 86th Street,126 East 86th Street Manhattan,Rybak Development,19 units,Closings commenced Sept 2024,Sponsor still holding units — pitch full PM takeover,Direct email Rybak development team,Kimi research May 25 2026
HIGH,New Dev — Sponsor-to-Board Transition,255 East 77th Street,255 East 77th Street Manhattan,Naftali Group + Robert A.M. Stern,62 units,Under construction est 2026,Pre-completion PM pitch to sponsor,Miki Naftali / RAMSA team,Kimi research May 25 2026
HIGH,New Dev — Sponsor-to-Board Transition,140 Jane Street,140 Jane Street West Village,Aurora Capital Associates,14 units,Under construction est 2026,Boutique luxury — perfect Camelot fit,Aurora principals — RE event networking,Kimi research May 25 2026
HIGH,New Dev — Sponsor-to-Board Transition,501 East 81st Street,501 East 81st Street Manhattan,Rybak Development,9 units,Completion est 2026,Small luxury — Camelot sweet spot,Rybak development team,Kimi research May 25 2026
HIGH,New Dev — Sponsor-to-Board Transition,80 Clarkson,80 Clarkson Street West Village,Zeckendorf Dev / Atlas Capital / Baupost,TBD,Under construction est 2026,High-profile founder-level outreach to William Zeckendorf,High-end brokerage connection to Zeckendorf,Kimi research May 25 2026
HIGH,New Dev — Sponsor-to-Board Transition,1122 Madison Avenue,1122 Madison Avenue Manhattan,Legion Investment Group + Nahla Capital,26 units,Completion est 2027,$10M+ units ultra-luxury PM pitch,Direct to Legion / Nahla principals,Kimi research May 25 2026
HIGH,New Dev — Sponsor-to-Board Transition,985 Fifth Avenue,985 Fifth Avenue Manhattan,Spitzer Enterprises,26 units,Completion est 2027,Museum Mile prestige client,Direct to Spitzer Enterprises,Kimi research May 25 2026
HIGH,New Dev — Sponsor-to-Board Transition,288 East 88th Street,288 East 88th Street Manhattan,Alchemy Properties,45 units,Topped out May 2025 sales launching,Pitch PM before board forms,Direct to Alchemy Properties,Kimi research May 25 2026
HIGH,New Dev — Brooklyn,205 Montague Street,205 Montague Street Brooklyn Heights,Landau Properties + Third Millennium + Midtown Equities,46 condos + 90 rentals,Demolition/construction begins 2026,Mixed-use — pitch full PM for condo portion,Landau principals — Brooklyn dev community,Kimi research May 25 2026
HIGH,New Dev — Brooklyn,One Wharf Way (Williamsburg Wharf Phase 2),Williamsburg waterfront,Two Trees Management / COOKFOX,2 towers 285+ ft,~65% sold construction underway,Sponsor handoff as sales complete,Jed Walentas Two Trees — Brooklyn RE network,Kimi research May 25 2026
